NOM_ENT,NOM_LOC_ORIGINAL,loc,lon,lat,address
BAJA CALIFORNIA,EL SANJON,"EL SANJON, MEXICO",-103.4336572,20.2821653,"el sanjon, jocotepec, jal., mexico"
BAJA CALIFORNIA,EL SAUZAL,"EL SAUZAL, MEXICO",-116.6996104,31.896313,"el sauzal, baja california, mexico"
BAJA CALIFORNIA,EL TOMATAL,"EL TOMATAL, MEXICO",-96.92055549999999,15.7847222,"70937 el tomatal, oaxaca, mexico"
BAJA CALIFORNIA,EL WIDO,"EL WIDO, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,ELEHUTE,"ELEHUTE, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,ERENDIRA,"ERENDIRA, MEXICO",-97.76611109999999,19.1522221,"75125 eréndira, pue., mexico"
BAJA CALIFORNIA,ESCOLLERA,"ESCOLLERA, MEXICO",-99.082431,19.4724262,"escollera, infonavit camino san juan de aragón, el olivo, 07950 ciudad de méxico, cdmx, mexico"
BAJA CALIFORNIA,SAN FELIPE,"SAN FELIPE, MEXICO",-114.8407776,31.0250709,"21850 san felipe, baja california, mexico"
BAJA CALIFORNIA,ESCONDIDO,"ESCONDIDO, MEXICO",-97.0767365,15.8719795,"puerto escondido, oaxaca, mexico"
BAJA CALIFORNIA,ESTERO SAN JOSE,"ESTERO SAN JOSE, MEXICO",-109.6857461,23.050623,"blvd. antonio mijares s/n, campo de golf fonatur, 23400 san josé del cabo, b.c.s., mexico"
BAJA CALIFORNIA,FARO DE SAN JOSE,"FARO DE SAN JOSE, MEXICO",-102.552784,23.634501,mexico
SONORA,HEROICA GUAYMAS,"HEROICA GUAYMAS, MEXICO",-110.9090678,27.9110633,"guaymas, sonora, mexico"
BAJA CALIFORNIA,ISLA ARENA,"ISLA ARENA, MEXICO",-90.45318510000001,20.7004791,"24919 isla arena, camp., mexico"
BAJA CALIFORNIA,ISLA CEDROS,"ISLA CEDROS, MEXICO",-115.2126293,28.1901766,"cedros island, baja california, mexico"
BAJA CALIFORNIA,ISLA DE CORONADO,"ISLA DE CORONADO, MEXICO",-117.26,32.4175,"isla coronado, baja california, mexico"
BAJA CALIFORNIA,ISLA DE GUADALUPE,"ISLA DE GUADALUPE, MEXICO",-118.2760503,29.05252029999999,"guadalupe island, baja california, mexico"
BAJA CALIFORNIA,ISLA ENCANTADA,"ISLA ENCANTADA, MEXICO",-114.5,30.0166667,"isla encantada, mexico"
